id;name;description;quantity_type
8f078643-3e73-4e83-9486-c87232a5a23f;convergence York;integrated Concrete;BALE
b82f19b0-2927-4100-a6b8-32ac07d07cdf;partnerships Spain Garden;hub SSL Quality;MTS
26b5ba3e-062e-422f-8ad9-1dd09a97793b;Paradigm open-source;Digitized Orchard impactful;BALE
3174476d-2c42-45a5-a043-19f099e57c0c;orchid;monitor Grass-roots fuchsia;BALE
3bb78755-2864-4a21-9d22-3eaa6d2f56eb;application Island;Proactive impactful Phased;BALE
93a4993e-e034-4e0f-931e-bffffd2bf8b2;Account card web-readiness;world-class;BALE
3871e560-c71a-48aa-b5f0-cb9d93dfd2b0;toolset;payment;BALE
23b635af-1ede-4b1a-84b8-ec690e2aa4b4;collaborative Baby;cross-platform productize Metal;BALE
22d31270-d8c9-4804-939b-0b9aed48c537;deposit Mobility;initiatives;MTS
9b22d7cd-91e5-4ce4-9c9a-6724fa946179;schemas leading-edge standardization;synthesizing Future-proofed;MTS
