id;date;updated_at;created_at
1;2023-07-01T01:45:03;2023-07-01T05:39:05;2023-06-30T19:36:35
2;2023-06-30T19:35:23;2023-06-30T19:32:58;2023-06-30T15:38:24
3;2023-06-30T18:56:10;2023-06-30T21:19:10;2023-07-01T05:01:37
4;2023-06-30T14:06:48;2023-06-30T22:08:12;2023-06-30T20:53:32
5;2023-06-30T23:41:39;2023-06-30T21:14:25;2023-07-01T11:53:01
6;2023-06-30T20:35:47;2023-07-01T08:24:19;2023-07-01T00:06:06
7;2023-07-01T07:04:07;2023-06-30T15:13:11;2023-06-30T18:51:33
8;2023-07-01T01:35:23;2023-07-01T01:19:59;2023-07-01T02:42:17
9;2023-07-01T03:51:18;2023-07-01T01:41:14;2023-06-30T18:41:04
10;2023-07-01T01:23:45;2023-06-30T14:15:26;2023-06-30T22:36:44
